PicoScope 5000A - Channel A Data
================================
Samples: 10000
Timebase: 128 (Sample interval: 1008 ns)
Range: 2V, DC coupled

Sample	Time(ns)	ADC	mV
259	261072	-3466	-213
260	262080	-3177	-195
261	263088	-3466	-213
262	264096	-3466	-213
263	265104	-3466	-213
264	266112	-3466	-213
265	267120	-3177	-195
266	268128	-3177	-195
267	269136	-3177	-195
268	270144	-2888	-177
269	271152	-2599	-159
270	272160	-2888	-177
271	273168	-2599	-159
272	274176	-2599	-159
273	275184	-2599	-159
274	276192	-2599	-159
275	277200	-2599	-159
276	278208	-2310	-142
277	279216	-2310	-142
278	280224	-2310	-142
279	281232	-2022	-124
280	282240	-2310	-142
281	283248	-1733	-106
282	284256	-2022	-124
283	285264	-1444	-88
284	286272	-1733	-106
285	287280	-1444	-88
286	288288	-1444	-88
287	289296	-1733	-106
288	290304	-1444	-88
289	291312	-1444	-88
290	292320	-1155	-71
291	293328	-1155	-71
292	294336	-1155	-71
293	295344	-866	-53
294	296352	-1155	-71
295	297360	-866	-53
296	298368	-866	-53
297	299376	-577	-35
298	300384	-577	-35
299	301392	-577	-35
300	302400	-288	-17
301	303408	-288	-17
302	304416	-288	-17
303	305424	-288	-17
304	306432	-288	-17
305	307440	0	0
306	308448	0	0
307	309456	0	0
308	310464	288	17
309	311472	577	35
310	312480	288	17
311	313488	288	17
312	314496	288	17
313	315504	577	35
314	316512	866	53
315	317520	866	53
316	318528	866	53
317	319536	1155	71
318	320544	866	53
319	321552	1155	71
320	322560	1444	88
321	323568	1155	71
322	324576	1444	88
323	325584	1155	71
324	326592	1733	106
325	327600	1444	88
326	328608	1444	88
327	329616	1733	106
328	330624	1733	106
329	331632	1444	88
330	332640	2022	124
331	333648	2310	142
332	334656	2310	142
333	335664	2310	142
334	336672	2310	142
335	337680	2310	142
336	338688	2310	142
337	339696	2310	142
338	340704	2310	142
339	341712	2888	177
340	342720	2599	159
341	343728	2599	159
342	344736	2599	159
343	345744	2599	159
344	346752	2599	159
345	347760	2888	177
346	348768	3177	195
347	349776	3466	213
348	350784	3177	195
349	351792	3466	213
350	352800	3466	213
351	353808	3466	213
352	354816	3466	213
353	355824	3466	213
354	356832	3755	230
355	357840	3755	230
356	358848	3755	230
357	359856	3466	213
358	360864	4333	266
359	361872	4333	266
360	362880	4044	248
361	363888	4044	248
362	364896	4044	248
363	365904	4333	266
364	366912	4621	284
365	367920	4621	284
366	368928	4621	284
367	369936	4621	284
368	370944	4621	284
369	371952	4910	302
370	372960	4910	302
371	373968	4910	302
372	374976	4910	302
373	375984	5199	319
374	376992	5199	319
375	378000	5199	319
376	379008	5488	337
377	380016	5488	337
378	381024	5199	319
379	382032	5488	337
380	383040	5488	337
381	384048	5488	337
382	385056	5777	355
383	386064	5777	355
384	387072	5777	355
385	388080	5777	355
386	389088	6066	373
387	390096	6066	373
388	391104	6066	373
389	392112	6066	373
390	393120	6355	390
391	394128	6355	390
392	395136	6643	408
393	396144	6643	408
394	397152	6355	390
395	398160	6643	408
396	399168	6643	408
397	400176	6643	408
398	401184	6932	426
399	402192	6643	408
400	403200	6932	426
401	404208	6932	426
402	405216	6932	426
403	406224	6932	426
404	407232	7221	444
405	408240	7510	461
406	409248	7221	444
407	410256	7510	461
408	411264	7510	461
409	412272	7799	479
410	413280	7799	479
411	414288	7799	479
412	415296	7510	461
413	416304	7510	461
414	417312	7799	479
415	418320	7510	461
416	419328	7799	479
417	420336	8088	497
418	421344	7799	479
419	422352	8088	497
420	423360	8377	515
421	424368	8088	497
422	425376	8088	497
423	426384	8088	497
424	427392	8377	515
425	428400	8666	533
426	429408	8377	515
427	430416	8666	533
428	431424	8666	533
429	432432	8666	533
430	433440	8666	533
431	434448	8666	533
432	435456	9243	568
433	436464	8954	550
434	437472	8954	550
435	438480	8954	550
436	439488	8954	550
437	440496	9243	568
438	441504	8954	550
439	442512	8954	550
440	443520	8954	550
441	444528	9243	568
442	445536	9532	586
443	446544	9243	568
444	447552	9243	568
445	448560	9243	568
446	449568	9532	586
447	450576	9532	586
448	451584	9532	586
449	452592	9532	586
450	453600	9532	586
451	454608	9532	586
452	455616	9532	586
453	456624	9532	586
454	457632	9821	604
455	458640	9532	586
456	459648	9821	604
457	460656	9821	604
458	461664	9821	604
459	462672	10110	621
460	463680	10110	621
461	464688	10110	621
462	465696	10110	621
463	466704	10110	621
464	467712	10399	639
465	468720	10399	639
466	469728	10399	639
467	470736	10110	621
468	471744	10399	639
469	472752	10688	657
470	473760	10688	657
471	474768	10399	639
472	475776	10399	639
473	476784	10399	639
474	477792	10688	657
475	478800	10688	657
476	479808	10399	639
477	480816	10399	639
478	481824	10688	657
479	482832	10688	657
480	483840	10688	657
481	484848	10688	657
482	485856	10976	675
483	486864	11265	692
484	487872	10976	675
485	488880	10976	675
486	489888	10976	675
487	490896	10976	675
488	491904	10976	675
489	492912	10976	675
490	493920	10976	675
491	494928	10976	675
492	495936	10976	675
493	496944	11265	692
494	497952	10976	675
495	498960	11265	692
496	499968	11265	692
497	500976	10976	675
498	501984	11265	692
499	502992	11554	710
500	504000	11265	692
501	505008	11554	710
502	506016	11843	728
503	507024	11265	692
504	508032	11554	710
505	509040	11265	692
506	510048	11265	692
507	511056	11554	710
508	512064	11265	692
509	513072	11265	692
510	514080	11554	710
